Main Folder,Sub Folder,File Type,Accuracy F1-Score
fv_ventral,_11,classification_results_test.xlsx,0.9500
fv_ventral,_12,classification_results_test.xlsx,0.8500
fv_ventral,_13,classification_results_test.xlsx,0.9250
fv_ventral,_14,classification_results_test.xlsx,0.9250
fv_ventral,_15,classification_results_test.xlsx,0.8750
fv_ventral,_16,classification_results_test.xlsx,0.9500
fv_ventral,_17,classification_results_test.xlsx,0.9500
fv_ventral,_18,classification_results_test.xlsx,0.9500
fv_ventral,_19,classification_results_test.xlsx,0.9500
fv_ventral,_2,classification_results_test.xlsx,0.9750
fv_ventral,_20,classification_results_test.xlsx,1.0000
fv_ventral,_21,classification_results_test.xlsx,0.9500
fv_ventral,_22,classification_results_test.xlsx,0.9000
fv_ventral,_23,classification_results_test.xlsx,0.8250
fv_ventral,_24,classification_results_test.xlsx,0.8500
fv_ventral,_25,classification_results_test.xlsx,1.0000
fv_ventral,_26,classification_results_test.xlsx,0.8750
fv_ventral,_27,classification_results_test.xlsx,0.9750
fv_ventral,_28,classification_results_test.xlsx,0.9750
fv_ventral,_29,classification_results_test.xlsx,0.8750
fv_ventral,_3,classification_results_test.xlsx,0.9000
fv_ventral,_30,classification_results_test.xlsx,0.9500
fv_ventral,_31,classification_results_test.xlsx,0.8500
fv_ventral,_32,classification_results_test.xlsx,0.9000
fv_ventral,_33,classification_results_test.xlsx,0.9750
fv_ventral,_34,classification_results_test.xlsx,0.9500
fv_ventral,_35,classification_results_test.xlsx,0.9250
fv_ventral,_36,classification_results_test.xlsx,0.8750
fv_ventral,_37,classification_results_test.xlsx,0.8250
fv_ventral,_38,classification_results_test.xlsx,0.8250
fv_ventral,_39,classification_results_test.xlsx,0.9500
fv_ventral,_4,classification_results_test.xlsx,0.9500
fv_ventral,_40,classification_results_test.xlsx,0.8250
fv_ventral,_41,classification_results_test.xlsx,0.8000
fv_ventral,_42,classification_results_test.xlsx,0.9000
fv_ventral,_43,classification_results_test.xlsx,0.9500
fv_ventral,_44,classification_results_test.xlsx,0.9500
fv_ventral,_45,classification_results_test.xlsx,0.9500
